gene_name,b_number,synonyms
pyrE,b3642,
rph,b3643,orfE
pgi,b4025,
gnd,b2029,
gltA,b0720,gluT|icdB
icd,b1136,icdA|icdE
metL,b3940,metM
metK,b2942,metX
metE,b3829,
metB,b3939,
metC,b3008,
metA,b4013,metAS
hns,b1237,bglY|drdX|osmZ|h-ns|hnsA|msyA|pilG
crp,b3357,cap|csm
ptsI,b2416,
ptsH,b2415,hpr
ompR,b3405,ompB|kmt
ompF,b0929,tolF|cmlB|coa
ompC,b2215,meoA|par
rpoA,b3295,
rpoB,b3987,rif|ron|groN|nitB|tabD
rpoC,b3988,tabB
rpoD,b3067,alt
rpoS,b2741,katF|appR|sigS|nur
rpoH,b3461,htpR|fam|hin
rpoE,b2573,sigE
rho,b3783,nitA|psuA|sbaA|tsu
nusA,b3169,
relA,b2784,
spoT,b3650,
gyrA,b2231,nalA|hisW|parD
gyrB,b3699,nalC|himB|hisU|parA|cou|acrB
fabA,b0954,
fabZ,b0180,sefA|yaeA
fabB,b2323,fabC
fabF,b1095,fabJ
fabH,b1091,
fabG,b1093,
fabI,b1288,envM
fabD,b1092,
clsA,b1249,cls|nov|yciJ
clsB,b0789,ybhO
plsB,b4041,
plsC,b3018,
plsX,b1090,
accA,b0185,
accB,b3255,fabE
accD,b2316,dedB|usg
accC,b3256,
glpK,b3926,
glpD,b3426,glyD
glpF,b3927,
glpA,b2241,
glpQ,b2239,
glpT,b2240,
glpX,b3925,
mlc,b1594,dgsA
mreB,b3251,envB|rodY
kup,b3747,trkD
iclR,b4018,
aceA,b4015,icl
acrA,b0463,lir|mtcA
acrB,b0462,acrE
acrD,b2470,yffA
soxR,b4063,marC
soxS,b4062,
fadR,b1187,oleR|thdB
lldD,b3605,lctD
lldP,b3603,lctP
ackA,b2296,ack
pta,b2297,
acs,b4069,yfaC
zwf,b1852,
gapA,b1779,
pgk,b2926,
eno,b2779,
tpiA,b3919,tpi
pykF,b1676,
pykA,b1854,
fbaA,b2925,fba|fda
gpmA,b0755,gpm|pgm
sucA,b0726,
sucB,b0727,
sucC,b0728,
sucD,b0729,
mdh,b3236,
pckA,b3403,pck
ppc,b3956,glu
ppsA,b1702,pps
maeA,b1479,sfcA
maeB,b2463,
pyrB,b4245,
pyrC,b1062,
pyrD,b0945,
pyrF,b1281,
argI,b4254,
cueO,b0123,
dsbG,b0604,
fadE,b0221,
corA,b3816,
fldA,b0684,
gcd,b0124,
oppA,b1243,
gltP,b4077,
glgC,b3430,
paaJ,b1397,
parE,b3030,
sstT,b3089,
putA,b1014,
tsx,b0411,
tdk,b1238,
xanQ,b2882,
wecA,b3784,
xylB,b3564,
glvC,b3683,
iap,b2753,
ychE,b1242,
yahK,b0325,
yahJ,b0324,
ybdO,b0603,
yajI,b0412,
yaiO,b0358,
ybfE,b0685,
ybhR,b0792,
yegI,b2070,
yegJ,b2071,
yjcO,b4078,
dnaK,b0014,
evgA,b2369,
mdtF,b3514,
frmR,b0357,
mreC,b3250,
mrdB,b0634,
mrdA,b0635,
glmS,b3729,
murA,b3189,
mreD,b3249,
fbaB,b2097,
metH,b4019,
fbp,b4232,
glmU,b3730,
glgP,b3428,
glgA,b3429,
rbsA,b3749,
rbsD,b3748,
rbsC,b3750,
rbsB,b3751,
rbsK,b3752,
dapA,b2478,
nupC,b2393,
cyoA,b0432,
aspC,b0928,
fruK,b2168,
aspA,b4139,
atpC,b3731,
sdaC,b2796,
pheP,b0576,
gltI,b0655,
mntH,b2392,
nhaA,b0019,
deoA,b4382,
ompT,b0565,
glpG,b3424,
glpE,b3425,
dctA,b3528,
thrA,b0002,
manB,b2048,
araD,b0061,
araC,b0064,
add,b1623,
fucA,b2800,
asnS,b0930,
gatA,b2094,
folD,b0529,
apt,b0469,
fdnI,b1476,
tdcD,b3115,
dcuC,b0621,
narH,b1225,
ltaE,b0870,
mnmC,b2324,
dacD,b2010,
sbcB,b2011,
chbC,b1737,
eutG,b2453,
gsiB,b0830,
eutH,b2452,
