experiment_id,publication,year,organism,base_strain,selection_condition,media,stressor,temperature_c,gene_name,gene,mutation_type,coding_effect,is_key_mutation,confidence,citation
ALEdb-glycerol-ExpID1523,Herring et al. 2006 Nat Genet 38:1406,2006,Escherichia coli,K-12 MG1655,glycerol M9 minimal 37C,M9 glycerol,none,37,glpK,b3926,converged,convergent,True,high,"ALEdb ExpID1523 converged set (glpK I238T + R189S); canonical glycerol-kinase target, confirmed in real data (Herring 2006 lit support)"
Cheng2014-gly,Cheng/Conrad et al. 2014 Nat Commun 5:3233,2014,Escherichia coli,K-12 MG1655,glycerol M9 minimal 37C,M9 glycerol,none,37,glpD,b3426,SNP,missense,True,medium,literature (Cheng 2014 doi:10.1038/ncomms4233) — retained; ExpID1523 glycerol ALE is small/recombination-focused and did not capture glpD
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,argI,b4254,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,corA,b3816,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,cueO,b0123,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,dsbG,b0604,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,fadE,b0221,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,fldA,b0684,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,gcd,b0124,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,glgC,b3430,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,gltP,b4077,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,oppA,b1243,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,paaJ,b1397,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,putA,b1014,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,pykF,b1676,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,sstT,b3089,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,tdk,b1238,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,tsx,b0411,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,wecA,b3784,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,xanQ,b2882,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-GLU-ExpID762,Phaneuf 2019 ALEdb / LaCroix 2015 AEM (10.1128/AEM.02246-14),2019,Escherichia coli,K-12 MG1655 (BOP27),glucose M9 minimal 37C,M9 glucose,none,37,xylB,b3564,converged,convergent,True,high,ALEdb ExpID762 converged-mutation set (8 ALE lineages A3-A10); convergent across independent lineages
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,acrD,b2470,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,aspA,b4139,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,aspC,b0928,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,atpC,b3731,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,cls,b1249,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,cyoA,b0432,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,dapA,b2478,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,dctA,b3528,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
